country,alcohol
Belarus,17.5
Lithuania,15.4
Romania,14.4
Ukraine,13.9
Andorra,13.8
Hungary,13.3
Czech Republic,13
Slovakia,13
Portugal,12.9
Serbia,12.6
Grenada,12.5
Poland,12.5
Latvia,12.3
Finland,12.3
South Korea,12.3
France,12.2
Australia,12.2
Croatia,12.2
Ireland,11.9
Luxembourg,11.9
Germany,11.8
United Kingdom,11.6
Denmark,11.4
Spain,11.2
Belgium,11
Switzerland,10.7
Austria,10.3
Estonia,10.3
Greece,10.3
Netherlands,9.9
Cyprus,9.2
Sweden,9.2
Norway,7.7
Georgia,7.7
Uruguay,7.6
Iceland,7.1
Bosnia and Herzegovina,7.1
Malta,7
Italy,6.7
